turn,context_tokens,cumulative_tokens,turn_tokens,prompt_tokens,completion_tokens,recall,compaction_event
1,122,182,182,122,60,1.0,0
2,208,730,548,416,132,1.0,0
3,292,1821,1091,876,215,1.0,0
4,378,3437,1616,1134,482,1.0,0
5,465,5446,2009,1395,614,1.0,0
6,548,7610,2164,1636,528,1.0,0
7,633,9885,2275,1899,376,1.0,0
8,635,12329,2444,1905,539,0.6666666666666666,0
9,633,14665,2336,1899,437,0.3333333333333333,0
10,637,18527,3862,1911,1951,0.0,0
11,637,23076,4549,1911,2638,0.0,0
12,636,25730,2654,1908,746,0.0,0
