turn,context_tokens,cumulative_tokens,turn_tokens,prompt_tokens,completion_tokens,recall,compaction_event
1,144,149,149,144,5,1.0,0
2,230,619,470,460,10,1.0,0
3,319,1591,972,957,15,1.0,0
4,404,2818,1227,1212,15,1.0,0
5,489,4300,1482,1467,15,1.0,0
6,572,6031,1731,1716,15,1.0,0
7,653,8005,1974,1959,15,1.0,0
8,737,10231,2226,2211,15,1.0,0
9,818,12700,2469,2454,15,1.0,0
10,902,15421,2721,2706,15,1.0,0
11,989,18403,2982,2967,15,1.0,0
12,986,21379,2976,2958,18,0.6666666666666666,0
13,981,24343,2964,2943,21,0.3333333333333333,0
14,977,27298,2955,2931,24,0.0,0
15,974,30244,2946,2922,24,0.0,0
16,973,33187,2943,2919,24,0.0,0
