turn,context_tokens,cumulative_tokens,turn_tokens,prompt_tokens,completion_tokens,recall,compaction_event
1,127,133,133,127,6,1.0,0
2,212,569,436,424,12,1.0,0
3,305,1503,934,915,19,1.0,0
4,389,2689,1186,1167,19,1.0,0
5,479,4145,1456,1437,19,1.0,0
6,565,5859,1714,1695,19,1.0,0
7,649,7825,1966,1947,19,1.0,0
8,736,10052,2227,2208,19,1.0,0
9,820,12531,2479,2460,19,1.0,0
10,908,15274,2743,2724,19,1.0,0
11,996,18281,3007,2988,19,1.0,0
12,996,21292,3011,2988,23,0.6666666666666666,0
13,996,24307,3015,2988,27,0.3333333333333333,0
14,990,27307,3000,2970,30,0.0,0
15,990,30307,3000,2970,30,0.0,0
16,985,33294,2987,2955,32,0.0,0
