size,depth,hit,prompt_tokens,completion_tokens
4000,0.0,1,3378,184
4000,0.25,1,3384,174
4000,0.5,1,3379,210
4000,0.75,1,3399,189
4000,1.0,1,3372,174
16000,0.0,1,13364,261
16000,0.25,1,13402,188
16000,0.5,1,13371,176
16000,0.75,1,13367,199
16000,1.0,1,13386,159
32000,0.0,1,26646,214
32000,0.25,1,26740,194
32000,0.5,1,26804,184
32000,0.75,1,26699,215
32000,1.0,1,26723,131
64000,0.0,1,53389,218
64000,0.25,1,53266,185
64000,0.5,1,53461,161
64000,0.75,1,53321,111
64000,1.0,1,53386,78
