turn,context_tokens,cumulative_tokens,turn_tokens,prompt_tokens,completion_tokens,recall,compaction_event
1,135,141,141,135,6,1.0,0
2,221,593,452,442,10,1.0,0
3,310,1538,945,930,15,1.0,0
4,395,2738,1200,1185,15,1.0,0
5,480,4193,1455,1440,15,1.0,0
6,563,5897,1704,1689,15,1.0,0
7,644,7844,1947,1932,15,1.0,0
8,728,10043,2199,2184,15,1.0,0
9,809,12485,2442,2427,15,1.0,0
10,893,15179,2694,2679,15,1.0,0
11,980,18134,2955,2940,15,1.0,0
12,977,21091,2957,2931,26,0.6666666666666666,0
13,972,24044,2953,2916,37,0.3333333333333333,0
14,968,26996,2952,2904,48,0.0,0
15,965,29939,2943,2895,48,0.0,0
16,964,32879,2940,2892,48,0.0,0
