turn,context_tokens,cumulative_tokens,turn_tokens,prompt_tokens,completion_tokens,recall,compaction_event
1,133,139,139,133,6,1.0,0
2,220,591,452,440,12,1.0,0
3,311,1543,952,933,19,1.0,0
4,397,2753,1210,1191,19,1.0,0
5,483,4221,1468,1449,19,1.0,0
6,569,5947,1726,1707,19,1.0,0
7,650,7916,1969,1950,19,1.0,0
8,736,10143,2227,2208,19,1.0,0
9,817,12613,2470,2451,19,1.0,0
10,903,15341,2728,2709,19,1.0,0
11,992,18336,2995,2976,19,1.0,0
12,989,21322,2986,2967,19,0.6666666666666666,0
13,986,24301,2979,2958,21,0.3333333333333333,0
14,983,27272,2971,2949,22,0.0,0
15,980,30233,2961,2940,21,0.0,0
16,981,33197,2964,2943,21,0.0,0
